,0,1,2,3,4,5,6,7,8,9,10
1,Write-In cells: 185,,,,,,,,,,
2,Overvote cells: 291,,,,,,,,,,
3,Rita C. Joseph: 0,,,,,,,,,,
4,Kenya Handy-Hilliard: 1,,,,,,,,,,
5,Cecilia Cortez: 2,,,,,,,,,,
6,Victor Jordan: 3,,,,,,,,,,
7,Edwin K. Raymond: 4,,,,,,,,,,
8,Josue Pierre: 5,,,,,,,,,,
9,Maxi Eugene: 6,,,,,,,,,,
10,Vivia M. Morgan: 7,,,,,,,,,,
11,John Williams: 8,,,,,,,,,,
12,Harriet L. Hines: 9,,,,,,,,,,
13,Blake Morris: 10,,,,,,,,,,
6077,0,4.0,2.0,5.0,9.0,,,,,,
6078,2,6.0,,,,,,,,,
6079,0,6.0,9.0,10.0,2.0,,,,,,
6080,4,1.0,0.0,5.0,2.0,,,,,,
6081,8,9.0,,,,,,,,,
6082,1,5.0,,,,,,,,,
6116,1,4.0,7.0,9.0,2.0,,,,,,
6117,1,4.0,7.0,9.0,2.0,,,,,,
6118,5,,,,,,,,,,
6120,0,5.0,,,,,,,,,
6121,0,5.0,1.0,,,,,,,,
6122,0,1.0,,,,,,,,,
6123,0,1.0,,,,,,,,,
6124,5,2.0,0.0,9.0,,,,,,,
6125,0,5.0,,,,,,,,,
6126,7,6.0,2.0,9.0,1.0,,,,,,
6127,6,5.0,7.0,,,,,,,,
6129,9,3.0,7.0,1.0,8.0,,,,,,
6246,8,,,,,,,,,,
6247,0,4.0,1.0,5.0,,,,,,,
6248,0,1.0,5.0,4.0,,,,,,,
6250,0,1.0,,,,,,,,,
6251,1,4.0,,,,,,,,,
6252,0,5.0,10.0,,,,,,,,
6253,5,9.0,6.0,2.0,1.0,,,,,,
6254,4,0.0,5.0,10.0,2.0,,,,,,
6255,2,,,,,,,,,,
6256,1,,,,,,,,,,
6257,10,,,,,,,,,,
6258,0,4.0,,,,,,,,,
6259,2,1.0,8.0,,,,,,,,
6260,0,2.0,1.0,,,,,,,,
6261,5,0.0,,,,,,,,,
6262,0,1.0,4.0,5.0,9.0,,,,,,
6263,10,5.0,4.0,6.0,3.0,,,,,,
6264,0,,,,,,,,,,
6265,6,5.0,,,,,,,,,
6266,0,1.0,5.0,10.0,2.0,,,,,,
6267,0,5.0,9.0,7.0,,,,,,,
6419,1,7.0,8.0,0.0,9.0,,,,,,
6420,1,5.0,0.0,7.0,,,,,,,
6421,0,5.0,1.0,9.0,2.0,,,,,,
6422,0,10.0,1.0,4.0,,,,,,,
6423,1,,,,,,,,,,
6424,4,1.0,0.0,5.0,2.0,,,,,,
6425,0,1.0,,,,,,,,,
6426,1,,,,,,,,,,
6427,9,0.0,3.0,1.0,5.0,,,,,,
6428,9,0.0,2.0,1.0,,,,,,,
6429,1,0.0,4.0,9.0,,,,,,,
6430,1,,,,,,,,,,
6431,0,10.0,7.0,,,,,,,,
6432,0,1.0,,,,,,,,,
6433,0,1.0,4.0,5.0,,,,,,,
6435,2,1.0,,,,,,,,,
6436,0,5.0,1.0,9.0,2.0,,,,,,
6437,4,0.0,1.0,5.0,9.0,,,,,,
6438,1,0.0,,,,,,,,,
6471,2,,,,,,,,,,
6472,7,0.0,3.0,,,,,,,,
6473,1,7.0,0.0,9.0,2.0,,,,,,
6474,0,1.0,10.0,5.0,,,,,,,
6475,1,0.0,2.0,,,,,,,,
6476,1,0.0,,,,,,,,,
6477,4,3.0,1.0,6.0,8.0,,,,,,
6478,1,0.0,10.0,,,,,,,,
6480,0,9.0,1.0,4.0,,,,,,,
6481,4,0.0,,,,,,,,,
6482,5,,,,,,,,,,
6483,5,1.0,0.0,2.0,4.0,,,,,,
6484,0,4.0,5.0,,,,,,,,
6485,1,,,,,,,,,,
6486,1,0.0,4.0,5.0,3.0,,,,,,
6487,9,0.0,10.0,4.0,5.0,,,,,,
6488,1,3.0,0.0,9.0,10.0,,,,,,
6489,0,2.0,5.0,10.0,4.0,,,,,,
6490,5,0.0,10.0,2.0,8.0,,,,,,
