,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,Write-In cells: 137,,,,,,,,,,,,,,
2,Overvote cells: 256,,,,,,,,,,,,,,
3,Steven B. Raga: 0,,,,,,,,,,,,,,
4,Ebony R. Young: 1,,,,,,,,,,,,,,
5,Julie Won: 2,,,,,,,,,,,,,,
6,Denise M. Keehan-Smith: 3,,,,,,,,,,,,,,
7,Badrun Khan: 4,,,,,,,,,,,,,,
8,Glennis E. Gomez: 5,,,,,,,,,,,,,,
9,Brent O'Leary: 6,,,,,,,,,,,,,,
10,Emily E. Sharpe: 7,,,,,,,,,,,,,,
11,Julia L. Forman: 8,,,,,,,,,,,,,,
12,Amit S. Bagga: 9,,,,,,,,,,,,,,
13,Sultan Al Maruf: 10,,,,,,,,,,,,,,
14,Hailie Kim: 11,,,,,,,,,,,,,,
15,Jesse Laymon: 12,,,,,,,,,,,,,,
16,Jonathan Bailey: 13,,,,,,,,,,,,,,
17,Lorenzo Brea: 14,,,,,,,,,,,,,,
30222,9,13.0,12.0,7.0,2.0,,,,,,,,,,
30224,2,12.0,9.0,6.0,11.0,,,,,,,,,,
30226,9,12.0,2.0,6.0,8.0,,,,,,,,,,
30227,3,0.0,13.0,12.0,10.0,,,,,,,,,,
30230,1,7.0,14.0,5.0,8.0,,,,,,,,,,
30703,7,,,,,,,,,,,,,,
30704,7,8.0,3.0,1.0,,,,,,,,,,,
30705,11,9.0,6.0,2.0,0.0,,,,,,,,,,
30707,9,2.0,6.0,4.0,5.0,,,,,,,,,,
30708,11,12.0,8.0,1.0,7.0,,,,,,,,,,
30709,6,9.0,2.0,13.0,3.0,,,,,,,,,,
30710,6,0.0,12.0,11.0,2.0,,,,,,,,,,
30711,9,8.0,5.0,0.0,12.0,,,,,,,,,,
30717,0,,,,,,,,,,,,,,
30718,14,3.0,7.0,12.0,8.0,,,,,,,,,,
30720,9,8.0,5.0,0.0,12.0,,,,,,,,,,
30722,2,4.0,6.0,0.0,11.0,,,,,,,,,,
30723,9,8.0,6.0,12.0,7.0,,,,,,,,,,
30724,8,12.0,1.0,7.0,11.0,,,,,,,,,,
30726,6,,,,,,,,,,,,,,
30727,2,11.0,1.0,,,,,,,,,,,,
30728,9,12.0,2.0,,,,,,,,,,,,
30730,13,7.0,0.0,6.0,1.0,,,,,,,,,,
30731,9,2.0,,,,,,,,,,,,,
30732,0,6.0,10.0,1.0,7.0,,,,,,,,,,
30736,9,12.0,,,,,,,,,,,,,
30739,11,9.0,2.0,12.0,6.0,,,,,,,,,,
30743,3,1.0,2.0,5.0,11.0,,,,,,,,,,
30747,8,6.0,11.0,9.0,2.0,,,,,,,,,,
30749,2,11.0,6.0,4.0,13.0,,,,,,,,,,
30992,2,,,,,,,,,,,,,,
30994,6,2.0,8.0,11.0,,,,,,,,,,,
30996,2,1.0,11.0,7.0,4.0,,,,,,,,,,
30998,1,8.0,2.0,3.0,13.0,,,,,,,,,,
31000,1,8.0,,,,,,,,,,,,,
31002,2,3.0,6.0,0.0,,,,,,,,,,,
31004,9,2.0,6.0,7.0,12.0,,,,,,,,,,
31006,9,13.0,2.0,11.0,8.0,,,,,,,,,,
31008,2,11.0,1.0,4.0,7.0,,,,,,,,,,
31010,2,1.0,4.0,11.0,,,,,,,,,,,
31013,9,2.0,11.0,6.0,12.0,,,,,,,,,,
31308,5,14.0,0.0,1.0,,,,,,,,,,,
31958,3,2.0,5.0,6.0,,,,,,,,,,,
31960,8,2.0,5.0,3.0,,,,,,,,,,,
31962,11,2.0,9.0,1.0,8.0,,,,,,,,,,
31964,9,8.0,11.0,2.0,0.0,,,,,,,,,,
31966,6,9.0,,,,,,,,,,,,,
31968,2,,,,,,,,,,,,,,
31970,0,,,,,,,,,,,,,,
31974,3,0.0,2.0,1.0,6.0,,,,,,,,,,
31976,7,12.0,2.0,14.0,10.0,,,,,,,,,,
31979,2,9.0,,,,,,,,,,,,,
31980,3,2.0,5.0,6.0,,,,,,,,,,,
31983,2,,,,,,,,,,,,,,
31984,2,9.0,,,,,,,,,,,,,
31986,6,3.0,2.0,11.0,12.0,,,,,,,,,,
31988,12,4.0,3.0,5.0,9.0,,,,,,,,,,
31990,6,9.0,4.0,8.0,13.0,,,,,,,,,,
31992,8,12.0,6.0,9.0,5.0,,,,,,,,,,
31994,2,7.0,6.0,3.0,12.0,,,,,,,,,,
31995,8,12.0,6.0,9.0,5.0,,,,,,,,,,
31997,6,,,,,,,,,,,,,,
31999,11,0.0,2.0,8.0,5.0,,,,,,,,,,
32001,2,10.0,8.0,3.0,4.0,,,,,,,,,,
32003,2,10.0,8.0,3.0,4.0,,,,,,,,,,
32005,9,,,,,,,,,,,,,,
32007,9,12.0,13.0,,,,,,,,,,,,
32009,9,,,,,,,,,,,,,,
32011,2,11.0,9.0,14.0,0.0,,,,,,,,,,
32014,2,,,,,,,,,,,,,,
32244,2,13.0,8.0,11.0,12.0,,,,,,,,,,
32246,11,5.0,8.0,1.0,7.0,,,,,,,,,,
32250,9,12.0,8.0,11.0,13.0,,,,,,,,,,
