,0,1,2,3,4,5,6,7,8,9,10,11
1,Write-In cells: 254,,,,,,,,,,,
2,Overvote cells: 231,,,,,,,,,,,
3,Luis Tejada: 0,,,,,,,,,,,
4,Carmen R. Quinones: 1,,,,,,,,,,,
5,Stacy R. Lynch: 2,,,,,,,,,,,
6,Keith L. Harris: 3,,,,,,,,,,,
7,Maria Ordonez: 4,,,,,,,,,,,
8,Daniel M. Cohen: 5,,,,,,,,,,,
9,Raymond Sanchez Jr.: 6,,,,,,,,,,,
10,Miguel Estrella: 7,,,,,,,,,,,
11,Corey Ortega: 8,,,,,,,,,,,
12,Shaun Abreu: 9,,,,,,,,,,,
13,Lena Melendez: 10,,,,,,,,,,,
14,Marti Gould  Allen-Cummings: 11,,,,,,,,,,,
17508,11,,,,,,,,,,,
17510,5,1.0,3.0,2.0,10.0,,,,,,,
17511,3,,,,,,,,,,,
17512,3,5.0,2.0,8.0,10.0,,,,,,,
17513,9,11.0,4.0,5.0,0.0,,,,,,,
17514,2,8.0,4.0,5.0,11.0,,,,,,,
17515,9,5.0,1.0,,,,,,,,,
17516,2,0.0,9.0,10.0,7.0,,,,,,,
17517,11,9.0,,,,,,,,,,
17518,11,8.0,4.0,2.0,5.0,,,,,,,
17519,8,2.0,4.0,5.0,0.0,,,,,,,
17520,0,4.0,2.0,11.0,9.0,,,,,,,
17521,4,0.0,2.0,10.0,9.0,,,,,,,
17522,9,5.0,1.0,,,,,,,,,
17527,9,4.0,5.0,8.0,11.0,,,,,,,
17528,9,4.0,5.0,,,,,,,,,
17529,5,6.0,2.0,9.0,,,,,,,,
17530,9,,,,,,,,,,,
17531,11,,,,,,,,,,,
17532,4,,,,,,,,,,,
17533,9,5.0,,,,,,,,,,
17534,0,9.0,1.0,2.0,4.0,,,,,,,
17536,6,5.0,9.0,2.0,,,,,,,,
17537,9,0.0,6.0,8.0,4.0,,,,,,,
17538,8,5.0,2.0,,,,,,,,,
17539,5,8.0,2.0,,,,,,,,,
17541,5,9.0,,,,,,,,,,
17542,5,,,,,,,,,,,
17543,5,,,,,,,,,,,
17544,0,6.0,4.0,9.0,8.0,,,,,,,
17545,8,5.0,4.0,9.0,2.0,,,,,,,
17546,2,10.0,1.0,4.0,6.0,,,,,,,
17548,5,9.0,4.0,2.0,11.0,,,,,,,
17549,9,2.0,6.0,0.0,8.0,,,,,,,
17550,8,2.0,4.0,10.0,1.0,,,,,,,
17551,4,,,,,,,,,,,
17553,4,,,,,,,,,,,
17554,5,9.0,,,,,,,,,,
17555,0,5.0,,,,,,,,,,
17556,2,11.0,,,,,,,,,,
17558,2,,,,,,,,,,,
17559,9,4.0,5.0,6.0,0.0,,,,,,,
17560,4,8.0,11.0,5.0,2.0,,,,,,,
17561,9,5.0,2.0,4.0,11.0,,,,,,,
17562,11,4.0,9.0,5.0,,,,,,,,
17563,5,0.0,9.0,,,,,,,,,
17564,9,,,,,,,,,,,
17565,9,5.0,11.0,2.0,,,,,,,,
17566,9,4.0,5.0,,,,,,,,,
17567,9,11.0,2.0,5.0,3.0,,,,,,,
17568,5,,,,,,,,,,,
17569,2,4.0,8.0,11.0,6.0,,,,,,,
17570,9,4.0,5.0,3.0,8.0,,,,,,,
17572,2,3.0,9.0,11.0,1.0,,,,,,,
17573,9,5.0,2.0,6.0,0.0,,,,,,,
17574,9,5.0,,,,,,,,,,
17635,5,2.0,9.0,,,,,,,,,
17684,0,,,,,,,,,,,
17685,11,5.0,9.0,4.0,8.0,,,,,,,
17686,11,8.0,5.0,4.0,0.0,,,,,,,
17687,6,3.0,5.0,4.0,10.0,,,,,,,
17688,0,9.0,8.0,4.0,5.0,,,,,,,
